,Extraction_date,Marketplace,Reference,Status,Name,Address,Size,Size_prefix,Nbr_of_rooms,Nbr_of_baths,Price,Description,URL
168,2018-07-16T13:57:18,Tunisie-annonce TN,2738493,L,Villa a el manzah 9 wb810,"Tunisie,Tunis,El Menzah,El Menzah 9",500,m²,,,3500.0,"a louer a el manzah 9 pour 3500 dt par mois une grande villa 6 pieces (500m) sur 2 niveaux ( rez de chaussée composé d 'un ssm , salle d'eau , cuisine et une piece et l étage composé e 3 cc et une suite et une salle de bain  avec chauffage central , climatisation , garage , jardin , alarme (wb810)",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2738493
178,2018-07-16T13:56:49,Tunisie-annonce TN,2583043,L,Depot  charguia1 5000m2 1er etg avec monte charge,"Tunisie,Tunis,Cite El Khadra,El Charguia",5000,m²,,,25000.0,agence immob carthage    a l    le 1er et dernier nivau  dun local indust   a la zone indus de charguia 1 gouvernorat de tunis   5000m2  avec m chargr et administration  loyer 60d/m2/an  ttc  visite   50 d  commission 5%  du montant annuel du loyer  95554202  ali,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2583043
182,2018-07-16T13:56:37,Tunisie-annonce TN,2586716,L,Local  ou depot  1300 zi b kass,"Tunisie,Ben arous,El Mourouj,Bir El Kassaa",1300,m²,,,10800.0,agence immob carthage    a louer  depot ou locl  zi b kassa2  sur rt pp   1300m2    loyer  100d/m2/an   ht     visite 50d  commisison 5%  du montant annuel du loyer  95554202  ali,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2586716
191,2018-07-16T13:56:19,Tunisie-annonce TN,2813805,L,Triplex s4,"Tunisie,Tunis,Ain Zaghouan,Jardins de Carthage",250,m²,,,4000.0,"re/max good life (29 92 40 39) vous propose à la location un triplex se composant au rez-de-chaussée d’un salon,un séjour indépendant, une salle d’eau et une cuisine agencée et équipée .   a l’étage, une suite parentale, deux chambres qui partagent une salle de bain .  au sous sol, un garde manger, une chambre de service, une cuisine agencée et équipée  et deux garages privatifs accessibles directement depuis le triplex.  l’extérieur est entouré par un jardin.  le triplex est doté de climatisation centrale et de chauffage central .  pour plus d'information ou pour prise de rendez-vous n'hésitez pas à contacter votre conseiller en immobilier re/max goodlife  mehdi bouteraa au 29924039",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2813805
207,2018-07-16T13:55:27,Tunisie-annonce TN,2474926,L,Chalet méditerranéen,"Tunisie,Jendouba,Tabarka,Cite Eddachra",160,m²,,,1500.0,"très beau chalet meublé avec toutes les commodités  haut standing perché sur les hauteurs de la perle du nord tabarka avec vue imprenable sur la mer et la montagne ,parking sécurisé .     la dernière photo est prise du balcon ..lever du soleil époustouflant !  loyer à l'année et négociable .",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2474926
209,2018-07-16T13:55:23,Tunisie-annonce TN,2634908,L,El rimel pied dans l eau,"Tunisie,Bizerte,Bizerte Nord,Bizerte",100,m²,,,600.0,a louer villa pied dans l eau s+2 a el rimel bizerte. la villa est richement meublee et dote d un grand jardin et d une grande terrasse.,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2634908
216,2018-07-16T13:55:04,Tunisie-annonce TN,2771511,L,Duplex front de mer sidi bou said,"Tunisie,Tunis,Carthage,Sidi Bousaid",180,m²,,,2000.0,"ce duplex qui fait le coin est situé front mer.l'entrée dessert un salon naturellement lumineux grâce à ses baies vitrées et son balcon avec une vue imprenable sur la mer. une cuisine aménagée par des espaces de rangement et équipée d'une plaque et d'un four encastré et une salle d'eau .  a l’étage, la partie nuit dessert une chambre à coucher une vue plongeante sur la mer et une deuxième chambre. un hall avec dressing et une salle de bain complètent la partie nuit .  chauffage central et climatisation en split système sont disponibles.",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2771511
218,2018-07-16T13:54:56,Tunisie-annonce TN,2831132,L,Villa s5  riadh andalous,"Tunisie,Ariana,Ariana Ville,Riadh Landlous",245,m²,,,1000.0,"#immoland    emplacement : riadh andalous    etat : vide    superficie : 245 m²    étage : rez de chaussée.    typologie : s+5.    composition :    salon .    cuisine.    cinq chambres à coucher dont trois avec placards.    salle de bain commune.    chauffage central.    terrasse.    garage.    prix : 1000 dinars / mois.    les visites sont gratuites.    #réf : mz 20/18    pour plus d'informations, veuillez contacter le 29 989 893",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831132
227,2018-07-16T13:54:33,Tunisie-annonce TN,2830106,L,Rdc de villa s2  jardin,"Tunisie,Ariana,Ariana Ville,Cite Ennasr 2",120,m²,,,700.0,"nous mettons à la location dans un quartier typiquement résidentiel d ennasser  2 un rez de chausse de villa   s2  avec jardin .  l’appartement au rez de chausse est compose d’un salon, une salle d’eau avec cabine de douche, une cuisine agencée et deux chambre à coucher.  pour plus d information veuillez contacter votre négociateur immobilier chez java housing  au 50123509",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2830106
233,2018-07-16T13:54:03,Tunisie-annonce TN,2773826,L,Maisonnette en s1 avec grand jardin golden tulip,"Tunisie,Tunis,La Marsa,Gammart",250,m²,,,2000.0,"cette maisonnette est située sur les hauteurs de gammarth, dans la résidence les cotes de carthage connue par appellation golden tulip. le hall d'entrée dessert un espace aux volumes généreux qui contient un salon qui offre un accès grand jardin gazonné. une cuisine  aménagée et équipée. une salle de bain complète la partie jour. une chambre à coucher qui ouvre sur le jardin. l'atout majeur de cette maisonnette est son espace convivial à l’extérieur. chauffage centrale et climatiseurs disponibles . plusieurs places de parking sont disponibles à l’intérieur de la résidence. résidence calme, proche de la mer et gardée 24h/24h.",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2773826
236,2018-07-16T13:53:52,Tunisie-annonce TN,2805138,L,Bureau au lac 2,"Tunisie,Tunis,La Marsa,Berge Du Lac",63,m²,,,2400.0,opportunity immobilière  vous propose la location d'un vaste bureau  au premier étage d'un immeuble bureautique au lac 2 il est cloisonné renfermant  toilette kitchenette  chauffé et climatisé   loyer : 2 400 dt  pour plus d'information  contactez  28 17 77 17  fais de visite : 20 dt,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2805138
237,2018-07-16T13:53:48,Tunisie-annonce TN,2561411,L,Belle villa s4 à la marsa erriadh,"Tunisie,Tunis,La Marsa,Marsa Erriadh",450,m²,,,2500.0,"l'affiche immo propose à la location une belle et grande villa dans un quartier calme et résidentiel à la marsa erriadh. elle est composée, au rez-de-chaussée, d'un spacieux et lumineux salon salle à manger séjour avec cheminée, une cuisine équipée et une salle de douche. a l'étage on trouve une suite parentale, trois chambres à coucher avec placards et une salle de bain commune. la villa est chauffée et climatisée, et dispose d'un jardin des quatre cotés et d'un loge gardien à l'extérieur.    pour plus d'informations veuillez contacter votre conseillère manel chagraoui au +216 55 270 007",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2561411
239,2018-07-16T13:53:46,Tunisie-annonce TN,2826848,L,Villa à carthage,"Tunisie,Tunis,Carthage,Carthage",900,m²,,,6000.0,"opportunity immobilière met a votre disposition la location :    villa a carthage cote port punique avec piscine , jardin , garage pour 3 voitures et plus , studio exterieur , rez de jardin s1 de service ( kitchinette , salon , sdb ) totalement independant    rez de chaussée : gr salon et coin sejour, suite et sd et cuisine    a l'etage : 4 chambres avec deux sdb et suite parental avec chambre dressing    un toit avec une belle vue mer /piscine    prix : 6000dt/mois    pour plus d'informations : 25489997    frais de visite obligatoire : 20 dt",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2826848
253,2018-07-16T13:52:37,Tunisie-annonce TN,2787527,L,Villa s4 à la cité du stade la marsa 0987,"Tunisie,Tunis,La Marsa,Cite Du Stade",400,m²,,,1800.0,"l'affiche immo propose à la location une belle villa s+4, dans un quartier très calme et résidentiel à la cité du stade, la marsa. elle est composée, au rez-de-chaussée, d'un grand et lumineux salon salle à manger, un séjour, une cuisine équipée et une salle d'eau invités. a l'étage se trouvent trois chambres à coucher et une salle de bain commune. la villa est équipée d'un système d'alarme et de l'interphone.    pour plus d'informations veuillez contacter votre conseiller boubaker mlayah au +216 55 990 007",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2787527
254,2018-07-16T13:52:35,Tunisie-annonce TN,2809010,L,Villa s4 meublé à sidi daoud la marsa 1028,"Tunisie,Tunis,La Marsa,Sidi Daoud",400,m²,,,3000.0,"l'affiche immo propose à la location une jolie villa s+4 richement meublée, dans un quartier calme et résidentiel à sidi daoud, la marsa.  elle est composée, au rez-de-jardin, d'une spacieuse cuisine et d'une salle d'eau.  le rez-de-chaussée se compose d'un grand et lumineux salon salle à manger donnant sur une terrasse, une chambre à coucher et une salle d'eau.  a l'étage on trouve une suite parentale, deux chambres à coucher et une salle de bain commune.  la villa est chauffée et climatisée, et dispose d'un grand abri de voitures.    pour plus d'informations veuillez contacter votre conseiller boubaker mlayah au +216 55 990 007",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2809010
256,2018-07-16T13:52:31,Tunisie-annonce TN,2549656,L,Locaux multiples activités,"Tunisie,Sousse,Sousse Jaouhara,Khezama Ouest",40,m²,,,1700.0,"2 locaux commerciaux de 40 m² et 50 m² couverts ,locaux biens   situés se trouvant à khézama ouest , zone très active donnant   sur 3 grandes artères ,conviennent pour multiples activités   commerciales ,local de 40 m² c loyer 1700 dt plus 20 000 dt doule façade ,local de 50 m² c loyer 1500 dt plus 20 000 dt  une seule façade .infos et visite s'adresser à l'immobilière du lac   à h-sousse au 00 216 73 370 942 où 00 216 99 904 113 et   00 216 52 942 113.",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2549656
274,2018-07-16T13:51:37,Tunisie-annonce TN,2586719,L,Depot ou local 2000m2 charpent,"Tunisie,Ben arous,El Mourouj,Bir El Kassaa",2000,m²,,,16700.0,agence immob carthage   a louer en charpente  depot ou locl zi b kassa2 sur rt pp 2000m2   loyer 100d/m2/an ht   visite 30d   commisison 5% du montant annuel du loyer   95554202   ali,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2586719
284,2018-07-16T13:51:12,Tunisie-annonce TN,2831183,L,Maison meublé,"Tunisie,Tunis,Bab Souika,Bab El Khadra",,m²,,,600.0,"agence immobilière imtiezimmob met à votre disposition un maison meublé 3 chambres indépendante ,hall  adresse:beb el khadthra  prix:600dt   adresse: agence imtiezimmob 45 colisée avenue habib bourguiba bloc d 5éme étage  svp appelez nous entre le 10h et 17h max merci pour votre compréhension   frais d’engagement pour visiter tous nos offres disponibles: 20 dt et 5 % pour l’autorisation de contrat",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831183
286,2018-07-16T13:51:08,Tunisie-annonce TN,2831181,L,Studio a tunis vide,"Tunisie,Tunis,La Marsa,El Aouina",120,m²,,,700.0,"studio a tunis vide tout confort neuf indépendant avec climatisation avec place parking sous sol convenant médecin , huissier ou comptable",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831181
289,2018-07-16T13:50:56,Tunisie-annonce TN,2831174,L,Studio a cité wahat,"Tunisie,Tunis,La Marsa,El Aouina",60,m²,,,600.0,studio a cité wahat à coté de monoprix indépendant,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831174
311,2018-07-16T13:49:26,Tunisie-annonce TN,2831171,L,Studio meublé derriere monoprix,"Tunisie,Tunis,La Marsa,El Aouina",70,m²,,,850.0,studio meublé derriere monoprix tout confort y compris syndic,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831171
312,2018-07-16T13:49:25,Tunisie-annonce TN,2831168,L,Depot de stockage a laaouina 3,"Tunisie,Tunis,La Marsa,El Aouina",212,m²,,,1200.0,depot de stockage a laaouina 3porte colision force hauteur 3.5 salle d'eau + bureau + 2 entrés indépendant pour stockage  nouveau construction,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831168
330,2018-07-16T13:48:10,Tunisie-annonce TN,2831219,L,Local commercial a ne pas rater,"Tunisie,Monastir,Monastir,Monastir",35,m²,,,15000.0,"en face du mosquée r6, sur une voie principale, a 500 m de la faculté dentaire et de l'hôpital et du lycée des jeunes filles.  possibilité de gérance si c la même activité.  pour plus d'informations contactez 55810357",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831219
335,2018-07-16T13:47:57,Tunisie-annonce TN,2584903,L,Villa avec piscine au lac 2 réf 0811,"Tunisie,Tunis,La Marsa,Berge Du Lac",450,m²,,,7300.0,"l'affiche immo propose à la location une très belle villa s+3 avec piscine, dans un quartier calme et résidentiel au lac 2.  elle est composée d'un grand et lumineux salon salle à manger, un séjour, deux cuisines équipées, trois cambres à coucher, une chambre de service, une salle d'eau invités, une salle de bain et un débarras.    pour plus d'informations veuillez contacter votre conseiller hatem jarboui au +216 55 228 007",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2584903
344,2018-07-16T13:47:02,Tunisie-annonce TN,2831212,L,Depot 10 000 m à la soukra,"Tunisie,Ariana,La Soukra,La Soukra",10000,m²,,,12000.0,"ce dépôt est situé à 5 mn de la route principale de la soukra coté monoprix. il est composé de:  - terrain nu  - local abrité en double hauteur.   - administration est composée de : 4 bureaux, toilettes et kitchenettes.  - coin lavage auto.    il peut convenir à toute activité commerciale ou de stockage.",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831212
354,2018-07-16T13:46:34,Tunisie-annonce TN,2790531,L,Opportunity immoloc villa s2 carthage hannibal,"Tunisie,Tunis,Carthage,Cartage Plage",170,m²,,,2000.0,"opportunity immobilière met a votre disposition a la location :    villa totalement indépendante a carthage hannibal , quartier résidentiel vip , s+2 meublée .    prix : 2000dt/mois    pour plus d'informations : 25489997 / 28177717",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2790531
357,2018-07-16T13:46:24,Tunisie-annonce TN,2831241,L,Etage de villa mansoura plage,"Tunisie,Nabeul,Kelibia,Kelibia",,m²,,,2000.0,"a louer étage de villa meublé et climatisé sis à mansoura plage, près de la plage fatha. 3 chambres à coucher, salon, salle à manger, cuisine, salle de bain, wc et douche",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831241
367,2018-07-16T13:45:59,Tunisie-annonce TN,2809284,L,Dépôt de stokage,"Tunisie,Ariana,Ariana Ville,Ariana",150,m²,,,110.0,"dépôt  de stokage a arian essoughra a côté de la poste sur la route dans un quartier calme et bien securise,  avec sal dou et électricité force.  deux fenêtre et deux grand porte surface total150m (hauteur 4metre ou plus ..) et un petite tirace pour gare les voiture   ( le prix par telephone!!)",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2809284
368,2018-07-16T13:45:55,Tunisie-annonce TN,2805270,L,Villa a el haouaria,"Tunisie,Nabeul,El Haouaria,El Haouaria",500,m²,,,800.0,"belle villa a louer el haouaria plage nord   , dans une zone calme prés de la plage 120 metre . elle se compose  de ,s+2 cuisine salle de douche.                  ,très  bien équipé ( climatisée, four ,microwonde,machine a laver , réfrigérateur, télé lcd,matelas neufs, barbaquiw, la cuisine est très bien équipée  ...la maison est entouré d'un beau jardin  gazonner environ(300m).possibilité de parking . le prix 800dt par semaine .contactez a 97434618/52285244 .",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2805270
372,2018-07-16T13:45:44,Tunisie-annonce TN,2806263,L,Villa beylical à carthage,"Tunisie,Tunis,Carthage,Carthage",1128,m²,,,5000.0,"opportunity immobilière met à votre disposition la location :    d’une villa beylical haute securité située dans un quartier vip bien gardé, surveillé et sécurisé à carthage .    elle est composée de :    trois salons , une cuisine équipée (plaque, hotte, four) avec un séchoir, une salle d’eau pour les invités , une terrasse , un jardin ,un studio gardien    la partie nuit abrite trois suites parentales avec une salle de bain et dressing et 4 autre chambres.    climatisation, chauffage centrale et garage sont disponibles.    surface : 1128 m²    prix : 5000 tnd par mois sans meubles    6500tnd par mois meublée    pour plus d'informations : 25489997 - 28368558 - 25488313",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2806263
375,2018-07-16T13:45:38,Tunisie-annonce TN,2826943,L,Bureaux route de soukra,"Tunisie,Ariana,La Soukra,Chotrana 2",70,m²,,,1500.0,opportunity immobiliére met a votre disposition a la location :    des bureaux de très haut standing composés d un salon et trois pièces et une kitchenette pour plus d informations veuillez nous contacter sur le numéros 25488313. 25489997,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2826943
380,2018-07-16T13:45:27,Tunisie-annonce TN,2831230,L,Belle villa au rimmel,"Tunisie,Bizerte,Menzel Jemil,Menzel Jemil",297,m²,,,2000.0,a louer une superbe villa toute neuve de très haut standing au rimmel. érigée sur deux niveaux soit rez de jardin avec étage rdc. la surface couverte est de plus de 297m sur un terrain de 259m 1 salon et salle à manger 2 chambres  cuisine salle d’eau douche au rez de jardin.1 salon et salle à manger 3 chambres  salle de bain au rdc. 02 terrasses aménagées jardins gazonnés sur les 2 façades avec une place de voiture. emplacement stratégique quartier résidentiel et clame .tout est accessible a 500 m de la plage de rimmel a 4 km de bizerte et 30 m de tunis via l’autoroute.revêtement du sol totalement en marbre . 100% faux plafond avec design ultra moderne . menuiserie de bois de haute gamme avec porte d’entrée blindée en acajou.4 chambres équipées avec dressing et placard .fenêtres et  portes de fenêtres coulissantes en aluminium. stores électriques en lames extra dur. cuisine totalement équipée. revêtement mural décoratif en pierre et en marbre . éclairage ultra moderne. sanitaires de luxe. portes électriques télécommandées alarme caméras de surveillance et vidéophone. chauffage centrale chauffe eau et climatisation tv satellite installés toit accessible de la cage d’escalier,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831230
419,2018-07-16T13:43:45,Tunisie-annonce TN,2831249,L,Studio à bellevue,"Tunisie,Tunis,El Ouerdia,Bellevue",,m²,,,250.0,"a louer pour etudiant(es) un studio à  bellevue qui se compose de 2 pieces ,cuisine , douche et vc et petite jardin avec un entree séparée",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831249
423,2018-07-16T13:43:36,Tunisie-annonce TN,2801570,L,Villa richement meublé,"Tunisie,Tunis,La Marsa,Cite El Hana",190,m²,,,3000.0,"villa sur deux niveaux, trois chambres a coucher, deux salle de bain, belle terrasse, belle cuisine, garage, et richement meublé",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2801570
426,2018-07-16T13:43:32,Tunisie-annonce TN,2799723,L,Villa avec jardin et piscine,"Tunisie,Tunis,La Marsa,Gammart",310,m²,,,4400.0,"grand salon, salle a manger, dépendance, séjour, cinq chambres a coucher, clim, ch c, garage, trois salle de bain, deux salle d'eau,",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2799723
431,2018-07-16T13:43:22,Tunisie-annonce TN,2798015,L,Triplex meublé au lac 2 wb912,"Tunisie,Tunis,La Marsa,Berge Du Lac",234,m²,,,4500.0,"a louer pour 4500 dt par mois au lac 2 un triplex (234m) s plus 3 meublé  avec chauffage central , climatisation , salon salle a manger , une suite et 2 autres chambres a coucher , une salle de bain et une salle d'eau , terrasse , parking , vue sur lac  (wb912)",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2798015
459,2018-07-16T13:42:26,Tunisie-annonce TN,2798454,L,Bureau 2 pièces,"Tunisie,Tunis,Bab Bhar,Montplaisir",,m²,,,650.0,"a louer un beau bureau s+2 haut standing avec ascendeur au 3 éme étage se compose d' une réception , de 2 pièces avec climatiseur et salle d’eau",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2798454
476,2018-07-16T13:41:53,Tunisie-annonce TN,2831318,L,Nouvelle maison,"Tunisie,Ben arous,Fouchana,Zone Industrielle El Meghira",176,m²,,,460.0,"je loue  ma maison  composée de 3 chambres ,salon salle d'eau ,salle de bain , une cuisine,viande et un grand sechoir(mancher)  et un espace de storage .fin des travaux le fin de juillet. encore il y'a  un garage pour  voiture( loyer avec garage 550 dinars).vous pouvez  me contacter sur viber ou whatsapp 0014388727676",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831318
505,2018-07-16T13:40:41,Tunisie-annonce TN,2794940,L,Charmante villa a la marsa corniche,"Tunisie,Tunis,La Marsa,Marsa Safsaf",500,m²,,,4800.0,"on met à location une villa avec jardin à la marsa corniche  proche de la mer.   la villa se compose d’un salon , une salle à manger, une cuisine et une salle d'eau.   a l’étage une suite parentale, trois chambres  à coucher et une salle de bain.  la villa chauffée et climatisée    parking pour deux voitures.  disponible fin juillet.  pour plus d'informations veuillez contacter notre agence au 24 26 88 33",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2794940
530,2018-07-16T13:39:47,Tunisie-annonce TN,2820228,L,Maisson et studios,"Tunisie,Nabeul,Hammamet,Hammamet",120,m²,,,5000.0,a louer a hammamet centre ville des maisson et des studios s+3 s+2 et s+1 climatisé avec meilleur prix contacté moi : 23073716,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2820228
