,Extraction_date,Marketplace,Reference,Category,Name,Address,Size,Size_prefix,Nbr_of_rooms,Nbr_of_baths,Price,Description,URL
20,2018-07-16T14:05:36,Tunisie-annonce TN,2831598,Appartement,Chambre individuelle,"Tunisie,Tunis,Cite El Khadra,Cite El Khadra",,m²,3.0,,250.0,"une fille fonctionnaire cherche une colocatrice pour partager un appartement (étage de villa) constituée de deux vaste chambres et une hole +cuisine meublé (gaz de ville) et salle de bain , (la chambre nn meublé) avec une fille fonctionnaire propre ,respectueuse et non fumeuse",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831598
22,2018-07-16T14:05:31,Tunisie-annonce TN,2831585,Appartement,Partage apart,"Tunisie,Ariana,Ariana Ville,El Menzah 6",100,m²,3.0,,165.0,"3 jeunes filles fonctionnaires cherchent une quatrième fille sérieuse pour partager un apart s+3 . chambre individuelle part 165dt . veuillez nous contacter sur 98822295, disponible à partir de début août",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831585
24,2018-07-16T14:05:24,Tunisie-annonce TN,2815556,Appartement,Etage de villa s plus 3 a ennasr 2 wb937,"Tunisie,Ariana,Ariana Ville,Cite Ennasr 2",140,m²,4.0,,950.0,"a louer a ennasr 2 pour 950 dt par mois un etage de villa s plus 3 (140m) avec climatisation , une salle de bain et une salle d'eau , 2 eme etage (wb937)",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2815556
26,2018-07-16T14:05:21,Tunisie-annonce TN,2777893,Appartement,Une chambre indiv pour fille a el omrane superieur,"Tunisie,Tunis,El Omrane Superieur,El Omrane Superieur",80,m²,2.0,,140.0,"a louer pour jeunes filles à el omrane supérieur des chambres individuelles luxueuses dans une résidence sécurisée prés de toutes commoditées et des stations de bus :  38 b , 14a , 78 et de la spéciale et à 10 min à pieds du métro 3  prix à partir de : 150 dt/mois  contacter : 54 443 193",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2777893
27,2018-07-16T14:05:18,Tunisie-annonce TN,2831583,Appartement,Maison s2 à chotrana 3,"Tunisie,Ariana,La Soukra,Chotrana 3",110,m²,2.0,,500.0,"s+2, salon grande avec placard et climatiseur. cuisine avec placard, gaz et séchoire, salle d'eau avec douche, place (allée) pour voiture.   gsm: 52 135 206",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831583
29,2018-07-16T14:05:11,Tunisie-annonce TN,2791959,Maison,Villa jardin d' el menzeh 2,"Tunisie,Ariana,Mnihla,Jardins d'el Menzah",700,m²,,,10000.0,"grande  villa, surface totale bâtie de 700 m²  sur un terrain de 500 m², faisant le coin ,situé sur l’avenue principale  avenue les jasmins , idéale pour une résidence, une institution, une banque ,une école privée ou pour un investisseur.",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2791959
31,2018-07-16T14:05:08,Tunisie-annonce TN,2782757,Maison,Espace pour depot ou park,"Tunisie,Sfax,Sfax Sud,El Khazzanette",4600,m²,,,1500.0,"a louer un espace de 4600 m2 cloture , avec 2 entres et alimente situe a la route de menzel chaker km 11 , kassa boumerra , sur la route principlae qui peut étre utilisé comme dépot de toutes activités commerciales stokage ou autre équipé par électricité et eau pour plus d'infos contactez 23322118 ou 21441810",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2782757
33,2018-07-16T14:05:05,Tunisie-annonce TN,2820177,Appartement,Appartement haut standing l aouina,"Tunisie,Ariana,La Soukra,La Soukra",50,m²,2.0,,380.0,"a louer un jolie appartement s+1 en très bonne état + cuisine+ douche + gaz de ville + climatiseur, cet appartement est situé à cite taieb mhiri l'aouina",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2820177
34,2018-07-16T14:04:59,Tunisie-annonce TN,2791201,Appartement,Étage nouvel construction,"Tunisie,Bizerte,Bizerte Nord,Bizerte",100,m²,3.0,,650.0,l'immobilière saiek & belhouane met en location:  un luxueux étage de villa nouvel construction à cité la santé.  composé d'un salon + 2 chambres + cuisine installé + salle de bain jacuzzi+ salle d'eau +balcon.  à 650 dt le mois.  à contacter: 70 001 109/ 52 816 833/ 31 51 99 66.,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2791201
35,2018-07-16T14:04:59,Tunisie-annonce TN,2825412,Appartement,Appartement plein vue sur mer,"Tunisie,Bizerte,Bizerte Nord,Bizerte",50,m²,2.0,,700.0,l'immobilière saiek & belhouane met en location:  un spacieux appartement aux grottes bizerte plein vue sur mer.  composé d'un grand salon et salle à manger + salle de bain + cuisine+ chambre à coucher+ terrasse.  à 700 dt le mois pour location annuel.  à contacter: 70 001 109/ 52 8168 33/22 50 99 66.,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2825412
39,2018-07-16T14:04:49,Tunisie-annonce TN,2831542,Appartement,Chambre meublée pour étudiante dans un appart,"Tunisie,Nabeul,Hammamet,Hammamet",,m²,1.0,,150.0,offre une chambre meublée pour étudiante dans un appartement a hammamet pas loin de la cite universitaire. l'appartement de haut standing est occupé par une dame âgée. possibilité de logement en contre partie de s'occuper de la dame. merci de contacter par mail,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831542
42,2018-07-16T14:04:40,Tunisie-annonce TN,2828154,Appartement,Etage villa,"Tunisie,Tunis,Le Bardo,Khaznadar",125,m²,3.0,,660.0,alouer appartement s+3 imeuble star 1etage avec gaz devie citer gardie jours et nuit pour petit famille  contacter mehrez 20 565063 0u53 160583,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2828154
43,2018-07-16T14:04:35,Tunisie-annonce TN,2831540,Appartement,Studio s plus 1,"Tunisie,Nabeul,Hammam El Ghezaz,Hammam El Ghezaz",,m²,2.0,,490.0,"pour les vacances d'été je vous propose studio s+ 1 meublée , situé sur la route principale et près de la plage (5min par voiture ). il se compose d’un  salon  et  balcon , cuisine équipée avec plaque et élément de rangement, une salle d'eau et une chambres a coucher.     contacter le propriétaire 50871834",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831540
46,2018-07-16T14:04:30,Tunisie-annonce TN,2823277,Appartement,S plus 3 au rdc,"Tunisie,Ben arous,Bou Mhel El Bassatine,Bou Mhel",150,m²,2.0,,450.0,agence immobilière  bestimmo met à votre disposition un appartement s plus 3 au rdc à boumhal el bassatine 2    n'hésitez pas à prendre contact pour de plus amples renseignements ou pour prendre rdv 29298380 de 9h à 19h,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2823277
47,2018-07-16T14:04:29,Tunisie-annonce TN,2831524,Maison,Rez de chaussé de villa,"Tunisie,Manouba,Mannouba,La Mannouba",350,m²,,,600.0,a louer:rdc de villa à manouba 5min station métro 4 . composé de 03 chambres à couché + sallon+ salle d'eau+ jardin pour 03 étudiantes filles  ingénieurs informatiques.  pour plus d'info appeler l'agent immobilier sur: 22229863/53770772,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831524
51,2018-07-16T14:04:14,Tunisie-annonce TN,2699559,Appartement,Ain zaghouan,"Tunisie,Tunis,Ain Zaghouan,Ain Zaghouan",,m²,3.0,,750.0,a louer appartement haut standing dans une résidence calme et gardée.  l'appartement se compose de  3 chambres avec placards+ salon + salle de bain + salle d'eau + cuisine avec séchoir + chauffage central + climatisation.,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2699559
53,2018-07-16T14:04:08,Tunisie-annonce TN,2817196,Maison,Local 100m,"Tunisie,Ben arous,Bou Mhel El Bassatine,Bou Mhel",100,m²,,,500.0,a louer 100m pour dépôt   prix payable par trimestre,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2817196
58,2018-07-16T14:03:48,Tunisie-annonce TN,2784642,Maison,Local commercial spatieux,"Tunisie,Sfax,Sakiet Ezzit,Sakiet Ezzit",45,m²,,,290.0,a louer un local commercial spatieux et tout neuf,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2784642
61,2018-07-16T14:03:44,Tunisie-annonce TN,2599415,Appartement,Super studio,"Tunisie,Ariana,La Soukra,Borj Louzir",80,m²,2.0,,350.0,( super appartement on bon etat avec gaz de ville,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2599415
62,2018-07-16T14:03:40,Tunisie-annonce TN,2496712,Appartement,Studio s0 meuble 59 dt enasser,"Tunisie,Ariana,Ariana Ville,Cite Ennasr 2",85,m²,2.0,,100.0,studio 0 meublé pret de kiosque agil (photo réeel ),http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2496712
64,2018-07-16T14:03:34,Tunisie-annonce TN,2493417,Appartement,S2 meublé 70dt la nuité enasser,"Tunisie,Ariana,Ariana Ville,Cite Ennasr 1",90,m²,1.0,,99.0,"un particulier sans passer par des intermédiaires avec un accueil gratuit et assistance pendant le séjours vous offre propose un très luxueux s2 meublé se trouvant dans une résidence chic et calme sur l'avenue hedi nouira  a enasser gardée 24h/24h à proximité de toutes commodités salons de thé, cafés, fast-food, restaurants,centre médical, cinéma,avec tout confort composé de:   une chambre à coucher et un salon bien équipe avec meubles neufs   tv hd lg 32 pouces avec récepteur hd .   climatiseur,cuisine bien équipé, gaz de ville, frigidaire,salle de bain chaud froid,chauffage central .   tout les draps les serviettes les vaisselles utiles sont disponibles   propreté et hygiène sont garanties.   60d directement du proprietaire num : 21575596",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2493417
66,2018-07-16T14:03:28,Tunisie-annonce TN,2831501,Appartement,Lel kre mourouj 3 appartement  plus 3,"Tunisie,Ben arous,El Mourouj,Cite El Mourouj 3 Bis",200,m²,3.0,,550.0,"a louer appartement à mourouj 3 situé dans un quartier calme, à 2 minutes de la station de métro martyrs et monoprix,l'appartement est assez bien placé, tout est accessible à les équipements nécessaires (agences bancaires , phamacie du jour et nuit..)   appartement de 200 m² avec grand salon ,cuisine, 3 chambres, une salle de bains avec toilettes, un balcon et un garage (dar ndifa wmadhouna jdid )  pour les sérieux 92951215",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831501
68,2018-07-16T14:03:22,Tunisie-annonce TN,2774915,Appartement,S plus 3 spacieux,"Tunisie,Ariana,La Soukra,Dar Fadhal",110,m²,4.0,,900.0,"a louer un bel appartement s+3 situé au 2eme ètage dans une belle résidence gardée r+2 à la soukra. il est composé d’un spacieux salon donnant sur un balcon, une cuisine agencèe avec séchoir, placard au couloir et salle d’eau invités.   la partie nuit est composée de 3 chambres à coucher  avec dressing .   il est équipé de chauffage central et 2 climatiseurs.   il dispose aussi d’une place de parking .",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2774915
70,2018-07-16T14:03:17,Tunisie-annonce TN,2770893,Appartement,Garage ou debou,"Tunisie,Ariana,Ariana Ville,Ariana",12,m²,1.0,,280.0,alloué garage ou debou aquout la rue,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2770893
73,2018-07-16T14:03:11,Tunisie-annonce TN,2826444,Appartement,S plus 2 à bou mhel,"Tunisie,Ben arous,Bou Mhel El Bassatine,Cite Bou Mhel",80,m²,3.0,,410.0,a loué 2 chambres plus salon à bou mhel complexe el klil.  la cuisine est équipé d'un chauffeau et éléments.  le salon à un balcon et il est bien ensoleillé .  l'appartement est au rez-de-chaussée et à un bon voisinage . près de toutes commodités .,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2826444
74,2018-07-16T14:03:06,Tunisie-annonce TN,2831499,Appartement,S2 a lbehi ldgham,"Tunisie,Ariana,La Soukra,Borj Louzir",90,m²,3.0,,480.0,"à louer un appartement à lbehi ladgham, à bord louzir ariana, composé d'un salon et deux chambres à coucher, une cuisine avec séchoiret une salle de bain.  place parking  résidence calme et gardée 24/7.  prix: 480dt  tel: 24890017",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831499
75,2018-07-16T14:03:02,Tunisie-annonce TN,2810862,Appartement,Vacance d ete  a kelibia,"Tunisie,Nabeul,Kelibia,Kelibia",150,m²,3.0,,850.0,une très belle maison tout neuf dans un endroit chic et calme a 3 minutes de la plage el mansourah par voiture climatisés avec gaz de ville ;machine a laver ; four ; refrégirateur ; etc richement meublée ; avec un grand tèrasse  avec un prix unbattable 8 50 dt par semaine une occasion a ne pas rater veiller me contacter sur mon numéro 20370331 ou 55388855 soyer le bien venu et marhba bikoum remarque je ne suis pas gachar,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2810862
76,2018-07-16T14:02:56,Tunisie-annonce TN,2813184,Appartement,Belle vacance,"Tunisie,Nabeul,Kelibia,Kelibia",160,m²,4.0,,900.0,une maison  s+3 tout neuf calme dans un endroit chic et propre en face hotel la belle etoile climatisée avec gaz de ville ; machine a laver et 2 tèraces magnéfique    richement meublée avec toute les ncéssaires  je ne suis pas un gachar . c est une trés bonne occasion a ne pas rater avec un prix unbatable   900 dt par semaine veiller me contacter sur mon tel  20370331 ou 55388855 soyer le bien venus et bonne vacance a tous,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2813184
78,2018-07-16T14:02:51,Tunisie-annonce TN,2828094,Appartement,Bon appartement,"Tunisie,Ben arous,Hammam Chatt,Borj Cedria",65,m²,3.0,,300.0,appartement à louer à partir d’août composé de s+2 propre et dans un cité trop calme,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2828094
80,2018-07-16T14:02:47,Tunisie-annonce TN,2813205,Appartement,L été a kelibia,"Tunisie,Nabeul,Kelibia,Kelibia",150,m²,3.0,,850.0,une maison  s+2 a trois minutes de la plage el mansourah tout neuf calme dans un endroit chic et propre climatisée avec gaz de ville ; 2 balcons  magnéfique ;un hole ; salle de bain neuf  ; richement meublée avec toute les ncéssaires  je ne suis pas un gachar . c est une trés bonne occasion a ne pas rater avec un prix inbatable 850 dt par semaine  veiller me contacter sur mon tel  20370331 ou 55388855 soyer le bien venus et bonne vacance a tous,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2813205
82,2018-07-16T14:02:44,Tunisie-annonce TN,2827061,Appartement,S plus 3 a ennasr 2 wb954,"Tunisie,Ariana,Ariana Ville,Cite Ennasr 2",140,m²,4.0,,900.0,"a louer a ennasr 2 pour 900 dt un s plus 3 (140m) avec chauffage central , climatisation (wb954)",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2827061
84,2018-07-16T14:02:35,Tunisie-annonce TN,2614985,Maison,Un depot 210m2,"Tunisie,Manouba,Mannouba,La Mannouba",210,m²,,,950.0,"a louer un depot 210 m2 couvert et 4m de hauteur, situer derriere le compus de manouba il et bien pour un projet d'unne boulangerie qui peu servir  les habitants aussi le foyer de compus puisque il ya pas une dans cette zone, le prix est negociable..",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2614985
86,2018-07-16T14:02:29,Tunisie-annonce TN,2772756,Appartement,Pour cooperants etage de villa,"Tunisie,Ariana,Ariana Ville,Cite Ennasr 2",200,m²,4.0,,1250.0,"un étage de villa très haut standing de 200 m carré   composé de : salon et salle à manger, 3 chambre à coucher dont une suite parentale, cuisine équipée, des placards, salle de bain, salle d’eau avec douche (voir photos ci-joints)   chauffage central, chauffe-eau solaire, climatiseurs, jardin et entrée indépendante, abri-voiture, porte automatique, alarme, interphone avec caméra.   loyer mensuel: 1250 dinars libre a partir du 1 mai 2018   pour toute visite contacter le numéro de téléphone : 22 13 44 89",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2772756
87,2018-07-16T14:02:25,Tunisie-annonce TN,2821815,Appartement,Studio hammamet,"Tunisie,Nabeul,Hammamet,Hammamet",40,m²,1.0,,450.0,studio climatisé s+1  propre et neuf  entrée privée  450 dt la semaine  97 549 712,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2821815
89,2018-07-16T14:02:18,Tunisie-annonce TN,2811607,Appartement,Un studio pr étudiantes ou fonctionnaires,"Tunisie,Tunis,Le Bardo,Bouchoucha",30,m²,1.0,,320.0,"a louer un studio d'une seule pièce+ hall+ kitchenette+salle d'eau, tout proche du magazin général et du monoprix kiabi  contactez 50392194/ 96614873/20496513",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2811607
90,2018-07-16T14:02:13,Tunisie-annonce TN,2831467,Appartement,Partage  menzah 7,"Tunisie,Ariana,Ariana Ville,El Menzah 7",100,m²,3.0,,165.0,"3 jeunes filles fonctionnaires cherchent une quatrième fille sérieuse pour partager un apart s+3 . chambre individuelle part 165dt . veuillez nous contacter sur 98822295, disponible à partir de début août",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831467
91,2018-07-16T14:02:09,Tunisie-annonce TN,2830273,Appartement,Un appartement s1 avec jardin à l'aouina,"Tunisie,Tunis,Ain Zaghouan,Ain Zaghouan",75,m²,1.0,,750.0,"a louer appartement s1 de 75m², haut standing avec jardin dans une petite résidence en r2 à l'aouina coté monoprix.  l'appartement est neuf et jamais habité, il dispose d'une cuisine équipée (plaque, four et hotte et mini réfrigérateur ) , salle de bain, une chambre à coucher et un salon qui donne sur une courette et le jardin de 30m².  l'appartement est bien entendu chauffé et climatisé et comprend une place parking privative au sous-sol comme d'un double ascenseur. commerces et loisir de proximités.  loyer : 750dt/mois syndic compris . pour plus d'informations veuillez contacter votre conseiller kaiss slama 20 318 250.",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2830273
92,2018-07-16T14:02:06,Tunisie-annonce TN,2829622,Appartement,Un appartement s3 avec jardin à la marsa,"Tunisie,Tunis,La Marsa,Sidi Daoud",1,m²,3.0,,1600.0,"a louer un appartement s3 avec jardin du côté de l'hypermarché carrefour.  un hall dessert la partie jour, comprenant une grande cuisine dînatoire équipée de four, plaque de cuisson et hotte attenante à un séchoir, une salle d'eau, douche à l'italienne et une salon de 25m² donnant sur un jardin de 50m2.  une porte nous sépare de la partie nuit composée d'une salle de bain, de deux chambres avec dressing et d'une chambre parentale avec dressing-room.  une place de parking est mise à disposition au sous-sol. pour plus d'informations veuillez contacter votre conseiller kaiss slama au +216 20 318 250. loyer: 1600dt/mois.",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2829622
93,2018-07-16T14:01:31,Tunisie-annonce TN,2786848,Maison,Maison climatisé 70dt,"Tunisie,Nabeul,Kelibia,Kelibia",150,m²,,,100.0,"bonjour, je mets à votre disposition une maison bien meublé et climatisé à kélibia , elle comporte une salon, deux chambres à coucher , une cuisine et salle de bain, elle est équipée de tout(gaz,four,réfrigérateur.etc)  pour plus d'informations ou réservation pendant l'été merci de nous contacter sur 24762174. la nuit 80dt",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2786848
94,2018-07-16T14:01:28,Tunisie-annonce TN,2828999,Appartement,Maison au chat el haouaria,"Tunisie,Nabeul,El Haouaria,Cite Touristique",120,m²,2.0,,120.0,maison s+2 au chatt el haouaria a cote restaurant bachhambe.jardin avec gazon et barbakiou . contacter moi sur 58668570,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2828999
95,2018-07-16T14:01:19,Tunisie-annonce TN,2827456,Appartement,App s plus 2,"Tunisie,Ariana,La Soukra,La Soukra",,m²,3.0,,750.0,"on met en location un appartement s+2 au 2ème étage d'une résidence gardée sous surveillance composée de 36 appartements en 4 blocs séparés 9 appartements chacun. l'appartement est situé à la soukra. il est composé d'un salon avec balcon , deux chambres, une cuisine équipée, un séchoir et une salle de bain. il est climatisé avec 2 split samsung un dans le salon et un dans la chambre des parents . il est chauffé chauffage central  prix:750dt  frais de visite:20dt",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2827456
96,2018-07-16T14:01:14,Tunisie-annonce TN,2831434,Appartement,Bonne occasion d'été à résidence coralis jazz,"Tunisie,Jendouba,Tabarka,Tabarka",55,m²,1.0,,120.0,"il s'agit d’un appart bien équipé dans un quartier résidentiel calme rez de chaussée : une cuisine équipée, un séjour, 1 chambre à coucher ,  climatisé, salle d’eau, une douche.  50m de la plage,  prix par nuitées 120 dt ( le prix est négociable suivant la période) pour plus d'infos et réservation veuillez nous contacter au 98822295 ( min 3 nuitées)",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831434
97,2018-07-16T14:01:09,Tunisie-annonce TN,2831430,Appartement,Appartement a ariana,"Tunisie,Ariana,Ariana Ville,Nouvelle Ariana",,m²,2.0,,600.0,s+2 a nouvelle ariana,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831430
98,2018-07-16T14:01:04,Tunisie-annonce TN,2826983,Appartement,S plus 2 a ennasr 2 wb953,"Tunisie,Ariana,Ariana Ville,Cite Ennasr 2",105,m²,3.0,,850.0,"a louer a ennasr 2 pour 850 dt par mois un s plus 2 (105m) avec chauffage central , 3 climatiseurs , placards , 2 sechoirs , une salle de bain , cuisine equipée (wb953)",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2826983
99,2018-07-16T14:00:59,Tunisie-annonce TN,2828963,Maison,Étage de maison,"Tunisie,Ariana,La Soukra,Cite Farhat",100,m²,,,380.0,un étage de maison se trouve a la soukra prêt de charguia 2,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2828963
100,2018-07-16T14:00:53,Tunisie-annonce TN,2820726,Maison,Studio meublé proche de lagare taher sfar,"Tunisie,Ben arous,Hammam Lif,Hammam Lif",34,m²,,,270.0,"studio meublé idéal pour homme fonctionnaire proche de lagare taher sfar composé d'un salon, chambres à coucher,kitchenette ,salle deau avec une place de parking prix 270dt fix     visite payante : 20 dt+(2visite gratuit)   +commission 130dt fix svp svp que les sérieux curieux courtier sabstenir",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2820726
101,2018-07-16T14:00:49,Tunisie-annonce TN,2826965,Appartement,Etage de villa a el manzah 5 wb951,"Tunisie,Ariana,Ariana Ville,El Menzah 5",140,m²,4.0,,1000.0,"a louer pour 1000 dt par mois un etage de villa s plus 3 (140m) a el manzah 5 avec chauffage central , climatisation , une salle de bain ,  parking pour 3 voitures (wb951)",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2826965
102,2018-07-16T14:00:43,Tunisie-annonce TN,2818105,Maison,Belle appartement,"Tunisie,Ariana,La Soukra,La Soukra",100,m²,,,480.0,tres belle appartement en 2em etage s+2 tres propre 5 minutes a  terminus métro ariana charguia 2 parabole installe gaze de-ville.,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2818105
103,2018-07-16T14:00:39,Tunisie-annonce TN,2823610,Appartement,Un studio meublé 30dt la nuit,"Tunisie,Monastir,Monastir,Zone Skanes",50,m²,1.0,,300.0,location courte sejour d un studio meublé climatisé pres de la palge de skanes,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2823610
104,2018-07-16T14:00:34,Tunisie-annonce TN,2831403,Appartement,Maison s plus 2 rdc,"Tunisie,Nabeul,Hammam El Ghezaz,Hammam El Ghezaz",90,m²,3.0,,700.0,"pour les vacances d'été je vous propose un appartement s+2 meublée rdc, situé sur la route principale et près de la plage. il se compose d’un salon kitchenette avec terrasse ,  une salle d'eau et deux chambres a coucher.   loyer 700dt la semaine.  contacter le propriétaire 50067372",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831403
105,2018-07-16T14:00:28,Tunisie-annonce TN,2570420,Maison,Foyer privé pour filles,"Tunisie,Ben arous,Rades,Rades",90,m²,,,110.0,foyer privé pour filles à 5 minute de la gare de rades et 5 minute de l'iset de rades proche de tout commodité. 110dt par personne.,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2570420
106,2018-07-16T14:00:26,Tunisie-annonce TN,2766529,Appartement,Rez de jardin à mennzah 9,"Tunisie,Tunis,El Menzah,El Menzah 9",210,m²,4.0,,1200.0,rez de chaussée à mennzah 9 près de toute comodite composé d'un salon salle à manger et 3 chambres à coucher . salle de bain et salle d'eau. avec un petit jardin et garage pour la voiture. équipé d'un chauffage central et 2 climatiseurs.,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2766529
107,2018-07-16T14:00:17,Tunisie-annonce TN,2783593,Maison,Gps  rdc villa chic avec jardin,"Tunisie,Ben arous,Hammam Chatt,Hammam Chatt",180,m²,,,850.0,villa au rez de chaussée avec jardin et entrée de voiture porte automatique maison sécurisé totaement  portes et fenetres fert forgé eécurité yakdhane  se compose de 3 chanbres sale d'eau indépendante salle de bain salon cuisine agencée  toutes les chambres  équipées de placards jardin tout autour une faible distance de la plage à plus ou moins 300 m de distance  location  sur dossier  -attestation de travail - fiche de paie  visite gratuite  sur rendez-vous  contcater mr hassouna agent conseiller en immobilier  20282357  71420606  50799719,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2783593
109,2018-07-16T14:00:12,Tunisie-annonce TN,2831396,Appartement,Appart s plus 2,"Tunisie,Nabeul,Hammam El Ghezaz,Hammam El Ghezaz",120,m²,3.0,,850.0,"pour les vacances d'été je vous propose un appartement s+2 meublée 2eme étage, situé sur la route principale et près de la plage. il se compose d’un salon sale à manger avec balcon, cuisine  équipée avec plaque et élément de rangement, une salle d'eau et deux chambres a coucher.   loyer 850dt la semaine.  contacter le propriétaire 50067372",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831396
110,2018-07-16T14:00:11,Tunisie-annonce TN,2669344,Appartement,Appartement derrière concession volkswagen,"Tunisie,Gabes,Gabes Sud,Zrig",65,m²,2.0,,200.0,"appartement se compose de deux chambres,toilette douche,cuisine et balcon au 1 ère étage derrière yatoo et concession volkswagen libre de suite , vous pouvez me contacter par email merci",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2669344
113,2018-07-16T14:00:04,Tunisie-annonce TN,2823367,Appartement,Appartement s2 a lafayette,"Tunisie,Tunis,Bab Bhar,Bab Bhar",100,m²,3.0,,700.0,a louer appartement de 2p ssm sb cuis loyer 700d par mois contacter agence bouhouch au 98234531,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2823367
115,2018-07-16T13:59:59,Tunisie-annonce TN,2587771,Appartement,Appartement avenue omar ebno kattab,"Tunisie,Gabes,Gabes Sud,Zrig",70,m²,3.0,,250.0,"a loué un appartement en 1 ère etage nouvelle construction se compose de deux chambres un grand haul cuisine toilette ,douche et un grand balcon libre de suite près de universités,stade   ,lycée pilote ,palm market ,yatoo ey marché de citer amel ideal pour professeur, etudiant ou jeune mariee ou petit famille loyer 250dt par mois possibilité de meuble , vous pouvez me contacter par mail merci",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2587771
116,2018-07-16T13:59:54,Tunisie-annonce TN,2807996,Appartement,Villa a kelibia pré de la plage mansoura,"Tunisie,Nabeul,Kelibia,Kelibia",250,m²,2.0,,880.0,villa a kelibia cité el borej et  pré de la plage mansoura 3 mn par voiture ou 10 mn a pied rez chaussé s+2 climatisé composé :   2 salon + 2 chambre + jardin +salle de bain +wifi + cour +une grande cuisine .  prix 880dt /semaine.  pour plus d'information contactez moi par téléphone 53437346/97035905,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2807996
